Latitute,Lognitude,Lux
46.845012,-96.7379,4050
46.845012,-96.73790773,4148
46.845012,-96.73791547,4333
46.845012,-96.7379232,4396
46.845012,-96.73793093,4296
46.845012,-96.73793867,4070
46.845012,-96.7379464,3619
46.845012,-96.73795413,3081
46.845012,-96.73796187,2656
46.845012,-96.7379696,2312
46.845012,-96.73797733,2126
46.845012,-96.73798507,2276
46.845012,-96.7379928,2915
46.845012,-96.73800053,3233
46.845012,-96.73800827,3461
46.8450192,-96.7379,5129
46.8450192,-96.73790773,5126
46.8450192,-96.73791547,5066
46.8450192,-96.7379232,5009
46.8450192,-96.73793093,5008
46.8450192,-96.73793867,5008
46.8450192,-96.7379464,4984
46.8450192,-96.73795413,4905
46.8450192,-96.73796187,4817
46.8450192,-96.7379696,4679
46.8450192,-96.73797733,4368
46.8450192,-96.73798507,3921
46.8450192,-96.7379928,3573
46.8450192,-96.73800053,3246
46.8450192,-96.73800827,3339
46.8450264,-96.7379,5112
46.8450264,-96.73790773,5148
46.8450264,-96.73791547,5133
46.8450264,-96.7379232,5089
46.8450264,-96.73793093,5047
46.8450264,-96.73793867,4980
46.8450264,-96.7379464,4916
46.8450264,-96.73795413,4733
46.8450264,-96.73796187,4484
46.8450264,-96.7379696,4306
46.8450264,-96.73797733,4161
46.8450264,-96.73798507,4216
46.8450264,-96.7379928,4150
46.8450264,-96.73800053,5739
46.8450264,-96.73800827,5801
46.8450336,-96.7379,5963
46.8450336,-96.73790773,5899
46.8450336,-96.73791547,5835
46.8450336,-96.7379232,5766
46.8450336,-96.73793093,5532
46.8450336,-96.73793867,5356
46.8450336,-96.7379464,5164
46.8450336,-96.73795413,4948
46.8450336,-96.73796187,4762
46.8450336,-96.7379696,4681
46.8450336,-96.73797733,4546
46.8450336,-96.73798507,4438
46.8450336,-96.7379928,4136
46.8450336,-96.73800053,3993
46.8450336,-96.73800827,3857
46.8450408,-96.7379,5614
46.8450408,-96.73790773,5587
46.8450408,-96.73791547,5552
46.8450408,-96.7379232,5444
46.8450408,-96.73793093,5267
46.8450408,-96.73793867,5069
46.8450408,-96.7379464,4843
46.8450408,-96.73795413,4660
46.8450408,-96.73796187,4503
46.8450408,-96.7379696,4312
46.8450408,-96.73797733,4139
46.8450408,-96.73798507,4099
46.8450408,-96.7379928,4006
46.8450408,-96.73800053,3896
46.8450408,-96.73800827,3858
46.845048,-96.7379,6362
46.845048,-96.73790773,6406
46.845048,-96.73791547,6379
46.845048,-96.7379232,6265
46.845048,-96.73793093,6137
46.845048,-96.73793867,5910
46.845048,-96.7379464,5668
46.845048,-96.73795413,5419
46.845048,-96.73796187,5137
46.845048,-96.7379696,4872
46.845048,-96.73797733,4610
46.845048,-96.73798507,4382
46.845048,-96.7379928,4219
46.845048,-96.73800053,4123
46.845048,-96.73800827,3968
46.8450552,-96.7379,6144
46.8450552,-96.73790773,6165
46.8450552,-96.73791547,6168
46.8450552,-96.7379232,6138
46.8450552,-96.73793093,6152
46.8450552,-96.73793867,6006
46.8450552,-96.7379464,5937
46.8450552,-96.73795413,5872
46.8450552,-96.73796187,5772
46.8450552,-96.7379696,5682
46.8450552,-96.73797733,5638
46.8450552,-96.73798507,5673
46.8450552,-96.7379928,5785
46.8450552,-96.73800053,5956
46.8450552,-96.73800827,6294
46.8450624,-96.7379,5830
46.8450624,-96.73790773,5650
46.8450624,-96.73791547,5665
46.8450624,-96.7379232,5647
46.8450624,-96.73793093,5602
46.8450624,-96.73793867,5492
46.8450624,-96.7379464,5332
46.8450624,-96.73795413,5143
46.8450624,-96.73796187,4960
46.8450624,-96.7379696,4650
46.8450624,-96.73797733,4445
46.8450624,-96.73798507,4372
46.8450624,-96.7379928,4345
46.8450624,-96.73800053,4359
46.8450624,-96.73800827,4403
46.8450696,-96.7379,4408
46.8450696,-96.73790773,5123
46.8450696,-96.73791547,5199
46.8450696,-96.7379232,5239
46.8450696,-96.73793093,5244
46.8450696,-96.73793867,5205
46.8450696,-96.7379464,5095
46.8450696,-96.73795413,4924
46.8450696,-96.73796187,4735
46.8450696,-96.7379696,4483
46.8450696,-96.73797733,4292
46.8450696,-96.73798507,4173
46.8450696,-96.7379928,4118
46.8450696,-96.73800053,4156
46.8450696,-96.73800827,4209
46.8450768,-96.7379,4253
46.8450768,-96.73790773,4482
46.8450768,-96.73791547,4561
46.8450768,-96.7379232,4695
46.8450768,-96.73793093,4857
46.8450768,-96.73793867,4899
46.8450768,-96.7379464,4841
46.8450768,-96.73795413,4701
46.8450768,-96.73796187,4594
46.8450768,-96.7379696,4490
46.8450768,-96.73797733,4474
46.8450768,-96.73798507,4472
46.8450768,-96.7379928,4731
46.8450768,-96.73800053,4844
46.8450768,-96.73800827,4738
