Latitude,Longitude,Lux
46.8422210,-96.74199,279
46.8422112,-96.74199,289
46.8422014,-96.74199,287
46.8421916,-96.74199,283
46.8421818,-96.74199,296
46.8421720,-96.74199,326
46.8421622,-96.74199,368
46.8421524,-96.74199,7021
46.8421426,-96.74199,21387
46.8421328,-96.74199,27751
46.8421230,-96.74199,39521
46.8421132,-96.74199,50533
46.8421034,-96.74199,57315
46.8420936,-96.74199,64165
46.8420838,-96.74199,68502
46.8420740,-96.74199,71593
46.8420642,-96.74199,74426
46.8420544,-96.74199,75401
46.8420446,-96.74199,76794
46.8420348,-96.74199,76882
46.8420250,-96.74199,72932
46.8422210,-96.74202,4534
46.8422112,-96.74202,4560
46.8422014,-96.74202,4625
46.8421916,-96.74202,4682
46.8421818,-96.74202,4659
46.8421720,-96.74202,4654
46.8421622,-96.74202,4665
46.8421524,-96.74202,19650
46.8421426,-96.74202,29900
46.8421328,-96.74202,37455
46.8421230,-96.74202,45807
46.8421132,-96.74202,51788
46.8421034,-96.74202,56471
46.8420936,-96.74202,58790
46.8420838,-96.74202,63049
46.8420740,-96.74202,63737
46.8420642,-96.74202,61685
46.8420544,-96.74202,69133
46.8420446,-96.74202,71916
46.8420348,-96.74202,75455
46.8420250,-96.74202,70668
46.8422210,-96.74205,69550
46.8422112,-96.74205,69121
46.8422014,-96.74205,70196
46.8421916,-96.74205,70585
46.8421818,-96.74205,66169
46.8421720,-96.74205,65633
46.8421622,-96.74205,69641
46.8421524,-96.74205,72656
46.8421426,-96.74205,73856
46.8421328,-96.74205,75299
46.8421230,-96.74205,77570
46.8421132,-96.74205,77698
46.8421034,-96.74205,79421
46.8420936,-96.74205,79608
46.8420838,-96.74205,80289
46.8420740,-96.74205,79094
46.8420642,-96.74205,79300
46.8420544,-96.74205,79292
46.8420446,-96.74205,79924
46.8420348,-96.74205,78221
46.8420250,-96.74205,79944
46.8422210,-96.74208,57239
46.8422112,-96.74208,62644
46.8422014,-96.74208,66566
46.8421916,-96.74208,70952
46.8421818,-96.74208,74852
46.8421720,-96.74208,71803
46.8421622,-96.74208,69921
46.8421524,-96.74208,72839
46.8421426,-96.74208,73513
46.8421328,-96.74208,74722
46.8421230,-96.74208,76337
46.8421132,-96.74208,77942
46.8421034,-96.74208,78981
46.8420936,-96.74208,76207
46.8420838,-96.74208,74255
46.8420740,-96.74208,69617
46.8420642,-96.74208,69990
46.8420544,-96.74208,68957
46.8420446,-96.74208,63843
46.8420348,-96.74208,40037
46.8420250,-96.74208,32173
46.8422210,-96.74211,57506
46.8422112,-96.74211,62963
46.8422014,-96.74211,67483
46.8421916,-96.74211,70727
46.8421818,-96.74211,72021
46.8421720,-96.74211,73688
46.8421622,-96.74211,75137
46.8421524,-96.74211,77015
46.8421426,-96.74211,78409
46.8421328,-96.74211,79896
46.8421230,-96.74211,80350
46.8421132,-96.74211,79929
46.8421034,-96.74211,80492
46.8420936,-96.74211,81338
46.8420838,-96.74211,81857
46.8420740,-96.74211,82442
46.8420642,-96.74211,82884
46.8420544,-96.74211,83258
46.8420446,-96.74211,84079
46.8420348,-96.74211,84180
46.8420250,-96.74211,84180
46.8422210,-96.74214,42774
46.8422112,-96.74214,50748
46.8422014,-96.74214,57116
46.8421916,-96.74214,62776
46.8421818,-96.74214,67126
46.8421720,-96.74214,70685
46.8421622,-96.74214,73051
46.8421524,-96.74214,72003
46.8421426,-96.74214,70584
46.8421328,-96.74214,71156
46.8421230,-96.74214,73247
46.8421132,-96.74214,60198
46.8421034,-96.74214,53894
46.8420936,-96.74214,59360
46.8420838,-96.74214,61751
46.8420740,-96.74214,64727
46.8420642,-96.74214,68285
46.8420544,-96.74214,70474
46.8420446,-96.74214,63710
46.8420348,-96.74214,55212
46.8420250,-96.74214,52451
46.8422210,-96.74217,81117
46.8422112,-96.74217,88796
46.8422014,-96.74217,83818
46.8421916,-96.74217,84944
46.8421818,-96.74217,87211
46.8421720,-96.74217,89788
46.8421622,-96.74217,89976
46.8421524,-96.74217,90685
46.8421426,-96.74217,91515
46.8421328,-96.74217,92227
46.8421230,-96.74217,92733
46.8421132,-96.74217,92960
46.8421034,-96.74217,93705
46.8420936,-96.74217,94577
46.8420838,-96.74217,98833
46.8420740,-96.74217,100594
46.8420642,-96.74217,99023
46.8420544,-96.74217,97703
46.8420446,-96.74217,90581
46.8420348,-96.74217,87512
46.8420250,-96.74217,84351
